Name,BSE Code,NSE Code,Industry,Current Price,Return over 3months,Return over 6months,Volume 1month average,Volume 1week average,Volume,High price,Low price,High price all time,Low price all time,Return over 1day,Return over 1week,Return over 1month,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,RSI,MACD,MACD Previous Day,MACD Signal,MACD Signal Previous Day,Return over 1year,Return over 3years,Return over 5years,Volume 1year average,Return over 7years,Return over 10years,Market Capitalization,join_key,Price to Sales,Price to Free Cash Flow,EVEBITDA,Current ratio,Interest Coverage Ratio,PEG Ratio,Working Capital to Sales ratio,QoQ Profits,QoQ Sales,Net worth,Market Cap to Sales,Interest Coverage,Enterprise Value to EBIT,Debt Capacity,Debt To Profit,Total Capital Employed,CROIC,debtplus,Leverage,Dividend Payout,Intrinsic Value,cash debt contingent liabilities by mcap,Cash by market cap,52w Index,Down from 52w high,Up from 52w low,From 52w high,Mkt Cap To Debt Cap,Dividend Payout Ratio,Graham,Price to Cash Flow,ROCE3yr avg,PB X PE,NCAVPS,Market Capt to Cash Flow,Altman Z Score,Market cap to quarterly profit,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Sales,OPM,Profit after tax,Return on capital employed,EPS,Change in promoter holding,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,EBIT last year,Interest last year,Profit before tax last year,Tax last year,Profit after tax last year,Extraordinary items last year,Net Profit last year,Dividend last year,Material cost last year,Employee cost last year,OPM last year,NPM last year,Operating profit,Interest,Depreciation,EPS last year,EBIT,Net profit,Current Tax,Tax,Other income,Last annual result date,Sales preceding year,Operating profit preceding year,Other income preceding year,EBIDT preceding year,Depreciation preceding year,EBIT preceding year,Interest preceding year,Profit before tax preceding year,Tax preceding year,Profit after tax preceding year,Extraordinary items preceding year,Net Profit preceding year,Dividend preceding year,OPM preceding year,NPM preceding year,EPS preceding year,Sales preceding 12months,Net profit preceding 12months
Adit.Birla Money,532974.0,BIRLAMONEY,Finance & Investments,165.5,58.09,45.19,870373,338062,458476,183.4,57.3,183.4,7.5,-1.05,-3.62,36.37,142.1,114.27,141.08,113.73,63.19,9.98,10.38,10.25,10.32,188.88,43.71,29.66,587646,11.71,23.33,935.23,532974.0_BIRLAMONEY,2.4,-3.41,8.53,1.87,1.75,0.45,120.94,8.65,12.59,162.71,2.4,1.75,8.96,-0.55,26.4,508.17,-21.31,8.69,10.69,0.0,92.23,-56.1,0.78,85.8,9.76,188.83,0.9,-0.53,0.0,77.93,-2.11,11.11,101.72,83.52,-2.11,1.52,56.82,1398.63,5.65,0.0,157.06,0.0,899.66,2116.11,59.31,0.0,28.27,36.26,0.0,429.97,1012.89,540.98,0.0,0.0,15.51,2116.11,471.91,24.0,0.0,60.66,1.0,889.51,0.0,23.8,5.65,899.66,283.82,31.04,59.31,0.61,411.83,124.0,58.27,17.09,396.57,417.42,34.71,9.87,23.58,6.98,7.04,390.19,42.17,52.97,12.54,9.37,0.0,390.19,164.56,4.82,169.38,8.23,161.15,92.22,68.93,15.96,52.97,0.0,52.97,0.0,0.0,88.89,42.17,13.58,164.56,92.22,8.23,9.37,161.15,52.97,19.62,15.96,4.82,202403.0,266.76,92.1,11.92,104.13,6.66,97.47,50.69,46.67,12.78,33.98,-0.11,33.9,0.0,34.53,12.74,6.01,342.04,43.88
Telogica,532975.0,__NA__,Trading,22.11,34.31,190.88,35290,26948,55087,27.15,5.69,67.75,0.91,4.99,2.43,-12.43,20.61,12.68,20.59,12.6,44.6,-0.52,-0.56,-0.27,-0.21,252.17,96.87,58.58,38283,23.71,16.03,52.83,532975.0___NA__,2.96,56.02,26.73,0.53,1.76,4.05,-74.24,-175.45,-48.59,-3.14,2.96,1.76,27.53,-0.01,3.05,-12.34,-184.97,-0.96,-8.52,0.0,,-5.57,0.0,76.51,18.56,288.58,0.81,7.63,0.0,,33.23,-461.51,,-5.55,33.23,2.91,-21.22,2.56,11.95,0.0,-15.09,0.0,2.67,30.45,12.66,0.0,12.19,0.92,0.0,0.0,17.49,33.22,0.0,0.0,0.44,30.45,-13.26,0.0,5.46,9.76,5.0,0.06,3.51,20.57,2.39,2.67,-12.51,0.47,12.66,0.0,-9.64,5.35,35.1,37.46,3.61,7.4,6.1,8.03,3.04,3.98,4.39,17.86,10.02,0.84,,0.35,0.0,17.86,1.79,0.28,2.07,0.06,2.01,1.14,0.87,0.04,0.84,0.0,0.84,0.0,61.09,1.87,10.02,4.7,1.79,1.14,0.06,0.35,2.01,0.84,0.0,0.04,0.28,202403.0,4.44,-2.96,3.03,-2.5,0.13,-2.63,1.06,-1.12,-0.04,-3.65,2.57,-1.08,0.0,-66.67,-82.21,-0.45,14.4,1.91
Jai Balaji Inds.,532976.0,JAIBALAJI,Steel - Large,882.9,-3.98,8.0,53172,37116,32922,1314.0,74.75,1314.0,4.8,1.12,-1.95,0.67,926.11,796.09,928.27,795.32,42.08,-14.25,-13.94,-14.96,-15.14,1048.88,157.06,100.5,365749,77.39,40.83,15226.33,532976.0_JAIBALAJI,2.37,44.65,13.92,1.0,14.28,0.34,2.74,16.36,19.92,1504.12,2.37,14.28,15.07,0.06,0.54,1674.0,20.11,1.68,2.1,0.0,296.52,-16.92,0.0,65.22,32.8,1081.27,0.67,2.96,0.0,333.37,18.16,29.51,166.71,10.19,18.16,10.88,55.78,472.53,163.65,0.0,1340.47,718.65,141.72,3354.49,2551.11,0.0,1419.51,1381.92,116.23,0.79,1509.18,1501.95,0.0,0.0,2194.68,3354.49,175.85,0.69,949.71,241.78,10.0,90.98,288.41,870.48,14.55,860.37,-142.72,1131.6,2551.11,68.83,-4.83,251.36,-425.24,246.76,3433.6,3638.41,3601.93,2678.26,1181.47,1324.13,1582.73,6413.78,14.13,879.56,61.05,53.74,3.05,6413.78,906.26,215.09,1121.35,85.62,1035.73,72.52,963.21,83.65,879.56,0.0,879.56,0.0,64.6,154.28,14.13,13.71,906.26,72.52,85.62,53.74,1035.73,879.56,0.0,83.65,215.09,202403.0,6125.07,330.05,-38.32,365.15,97.93,267.22,88.88,104.92,47.1,131.25,-73.42,57.83,0.0,5.39,2.14,3.98,6292.19,593.5
Bajaj Auto,532977.0,BAJAJ-AUTO,Automobiles - Scooters And 3 - Wheelers,9621.3,2.43,36.0,379177,404656,244719,10038.8,4541.0,10038.8,131.0,1.26,-2.5,4.59,9249.62,7697.39,9239.33,7679.25,51.15,107.7,125.39,169.01,184.33,102.53,31.53,26.81,488642,19.14,15.25,268607.2,532977.0_BAJAJ-AUTO,5.98,58.2,25.68,0.7,167.64,3.26,-3.5,-1.04,-5.02,28962.41,5.98,167.64,26.61,0.15,0.25,1680.59,15.28,0.12,1.29,28.97,3855.09,-0.96,0.0,92.2,4.27,111.63,0.96,4.67,28.97,2538.65,40.91,27.84,321.09,-56.3,40.91,13.88,133.38,1911.74,279.18,0.0,28683.23,951.85,959.89,39343.69,6255.08,0.0,3037.71,3217.37,35.1,28086.68,6366.78,9091.23,1736.89,0.0,1622.93,39343.69,-1571.88,0.0,1688.75,2075.53,10.0,955.32,326.07,5597.39,28.3,124.23,-201.7,2842.24,5634.79,85.27,516.01,622.9,205.61,-1396.12,121.46,124.52,119.9,59.19,1667.55,1763.94,2001.79,44870.43,19.53,7722.32,33.53,276.1,0.11,44870.43,8764.68,1700.49,10483.51,364.77,10118.74,60.36,10040.04,2331.8,7722.32,-18.34,7708.24,2233.44,71.08,1631.06,19.53,17.21,8764.68,60.36,364.77,276.1,10118.74,7708.24,2285.67,2331.8,1700.49,202403.0,36455.38,6464.64,1702.7,8181.45,285.85,7895.6,39.51,7841.98,1781.77,6070.98,-14.11,6060.21,3961.44,17.73,16.65,214.17,42244.71,7401.55
Bajaj Finserv,532978.0,BAJAJFINSV,Finance & Investments,1584.85,-4.13,-5.33,2018817,2360816,2227335,1741.85,1419.0,1932.51,8.67,-0.21,0.03,3.9,1588.22,1588.32,1588.23,1588.32,51.26,4.68,5.08,0.89,-0.06,3.94,10.56,13.5,1536171,21.21,32.57,253046.97,532978.0_BAJAJFINSV,2.29,-5.24,12.95,0.25,2.15,1.52,-98.39,0.98,10.34,60328.64,2.29,2.15,13.24,-0.82,18.53,-102931.97,-14.16,4.85,7.81,1.96,891.23,-110.68,0.04,51.57,8.98,11.73,0.91,-0.63,1.96,659.14,-3.69,11.03,129.97,-680.2,-3.69,1.12,119.49,288932.62,159.41,0.0,60169.23,190766.75,98165.87,537415.14,8836.55,0.0,3381.21,5455.34,220.08,168384.6,36099.28,144706.67,168386.14,0.0,3647.14,537415.14,-108607.39,0.0,0.0,5973.86,1.0,12386.66,0.0,6277.42,159.28,212264.97,-94505.05,4336.01,7047.8,191.27,-77936.73,-61072.42,-9827.02,-20008.56,128460.85,99754.35,48282.04,19506.85,3182.1,2096.83,1645.4,110382.29,37.04,8152.51,11.72,51.07,0.0,110382.29,40885.55,-3.86,40894.1,900.13,39993.97,18606.53,21375.03,5779.67,8152.51,-12.41,15595.36,159.41,0.0,10380.16,37.04,14.14,40885.55,18606.53,900.13,51.07,39993.97,15595.36,5802.83,5779.67,-3.86,202403.0,82071.7,29867.73,1.46,29869.17,677.8,29191.37,12380.26,16811.13,4601.59,6417.27,0.02,12209.54,127.41,36.39,14.88,40.29,101965.68,14845.57
Gokul Refoils,532980.0,GOKUL,Solvent Extraction,41.38,3.02,-33.28,178716,89980,68036,64.9,29.15,89.68,7.2,5.56,-4.6,-5.2,41.63,41.92,41.73,41.95,38.81,-0.36,-0.23,-0.21,-0.17,29.37,9.02,23.76,436231,7.32,8.11,409.65,532980.0_GOKUL,0.14,56.2,10.32,1.47,1.63,1.74,16.52,-2.97,-13.59,329.95,0.14,1.63,12.29,-0.26,182.85,613.92,1.03,1.68,2.4,0.0,7.28,-117.5,0.23,34.21,36.24,41.96,0.64,1.12,0.0,11.71,7.37,8.26,29.52,50.39,7.37,6.65,209.01,330.96,19.8,0.0,310.15,37.58,387.41,739.4,144.95,0.0,35.76,108.27,6.77,59.73,569.87,387.11,0.53,0.0,223.26,739.4,498.88,0.41,211.41,130.15,2.0,72.87,0.0,63.26,9.9,424.99,531.3,109.19,144.95,2.41,434.05,408.21,653.27,537.52,283.35,262.89,694.96,651.41,79.73,68.0,231.07,3019.87,1.53,17.22,7.68,0.18,0.0,3019.87,46.2,0.14,64.7,10.37,54.33,33.3,2.67,0.86,17.22,-18.36,1.81,0.0,95.17,19.49,1.53,0.57,46.2,33.3,10.37,0.18,54.33,1.81,2.95,0.86,0.14,202403.0,3136.53,55.8,10.35,65.89,7.69,58.2,27.08,31.38,7.24,23.94,0.26,24.14,0.0,1.78,0.76,2.44,3185.83,5.82
RPG LifeScience.,532983.0,RPGLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln,1652.2,5.59,16.87,22483,27820,29865,1740.0,907.2,1740.0,15.25,0.61,5.46,14.97,1521.06,1412.25,1516.11,1409.94,69.11,34.79,30.58,22.8,19.8,81.01,54.77,47.52,32950,23.47,30.58,2732.59,532983.0_RPGLIFE,4.69,65.73,19.9,1.59,82.1,0.61,13.23,-49.96,-17.38,374.85,4.69,82.1,22.77,0.13,0.0,286.82,12.14,0.02,1.24,30.18,952.71,1.11,0.02,89.19,5.18,81.87,0.95,3.05,30.18,519.89,28.85,32.95,229.22,46.65,28.92,11.61,206.11,0.0,13.23,0.0,361.62,0.0,0.0,512.87,221.52,0.0,107.99,113.53,96.31,91.16,207.94,130.96,0.0,0.0,6.15,512.87,76.98,0.0,101.0,49.13,8.0,36.47,1.84,71.02,1.65,0.01,102.85,124.26,220.01,25.44,97.44,48.31,41.71,33.93,2.02,36.5,44.74,14.51,113.3,127.64,136.67,582.05,22.19,86.89,34.65,53.0,0.0,582.05,129.14,7.21,135.29,17.07,118.22,1.44,117.84,30.18,86.89,1.06,87.66,26.46,31.7,132.59,22.19,14.93,129.14,1.44,17.07,53.0,118.22,87.66,32.54,30.18,7.21,202403.0,512.81,104.31,4.02,109.11,15.5,93.61,1.15,91.68,24.04,68.21,-0.78,67.64,19.84,20.34,13.3,40.9,573.55,84.77
Niraj Cement,532986.0,NIRAJ,Construction,51.55,28.95,18.73,135144,253308,99213,65.0,27.45,239.6,4.16,-1.66,0.0,17.4,46.25,43.05,46.0,42.96,64.12,2.32,2.28,1.72,1.56,77.09,5.03,33.81,150832,4.22,19.88,207.0,532986.0_NIRAJ,0.44,19.34,7.63,2.39,83.3,0.16,21.04,654.55,6.19,152.77,0.44,83.3,8.19,0.22,0.01,108.3,6.03,0.11,1.76,0.0,77.73,2.79,0.11,64.18,20.69,87.8,0.79,6.41,0.0,46.81,7.41,7.43,16.62,24.61,7.41,5.39,27.71,0.15,43.11,0.0,109.66,25.93,0.0,224.18,31.57,0.0,24.47,9.35,0.0,15.16,169.89,71.09,0.0,0.0,16.99,224.18,98.95,0.0,6.34,56.55,10.0,22.92,37.62,18.94,4.02,25.93,150.97,7.1,31.57,0.0,147.26,116.08,154.5,96.56,30.32,20.46,132.73,83.3,9.85,13.16,16.73,470.22,3.49,16.82,12.67,2.56,0.0,470.22,16.4,-0.89,24.15,1.66,22.49,0.27,13.58,3.3,16.82,-8.64,10.28,0.0,94.23,1.72,3.49,3.58,16.4,0.27,1.66,2.56,22.49,10.28,3.3,3.3,-0.89,202403.0,605.31,8.82,-0.56,12.81,1.37,11.44,0.48,6.41,2.39,6.8,-4.55,4.02,0.0,1.46,1.12,1.0,649.69,4.75
Rane Brake Lin.,532987.0,RBL,Auto Ancillaries,998.35,31.49,14.86,40576,28842,19865,1093.45,642.95,1450.0,31.3,2.14,-1.31,11.98,908.17,840.57,905.34,839.19,60.44,22.89,23.05,19.9,19.16,11.96,1.48,8.74,47408,-4.23,12.94,771.72,532987.0_RBL,1.16,165.18,9.86,2.22,1856.0,9.24,20.85,52.08,13.38,281.08,1.16,1856.0,13.73,0.18,0.02,271.7,1.71,0.04,1.38,57.57,830.3,-1.06,0.01,77.91,9.1,54.59,0.91,1.47,57.57,652.95,26.13,17.63,50.78,178.91,26.23,6.57,47.19,0.63,7.73,0.0,273.35,0.0,0.63,400.72,305.41,0.0,178.47,126.94,7.0,5.96,250.22,112.62,0.0,0.0,11.78,400.72,137.76,0.63,93.5,147.04,10.0,4.27,0.79,63.15,0.77,0.19,107.44,118.22,275.68,4.38,108.33,74.61,42.55,42.57,0.36,0.07,5.99,80.56,117.9,118.37,120.82,660.83,11.41,41.18,20.51,52.11,0.0,660.83,75.38,0.92,77.52,21.84,55.68,0.03,54.43,14.15,41.18,-1.22,40.28,23.19,54.8,87.41,11.41,6.23,75.38,0.03,21.84,52.11,55.68,40.28,12.92,14.15,0.92,202403.0,598.8,56.36,8.27,64.63,20.0,44.63,0.05,44.58,11.12,33.46,0.0,33.46,19.32,9.41,5.59,43.29,639.48,36.91
Rane Engine Val.,532988.0,RANEENGINE,Auto Ancillaries,422.15,25.8,14.84,13633,12320,8798,505.95,276.05,809.4,40.0,0.49,0.23,16.94,385.25,352.94,383.82,352.27,64.91,13.79,14.02,12.44,12.11,42.0,10.91,-1.42,12718,-5.72,1.56,305.4,532988.0_RANEENGINE,0.54,-68.97,8.36,1.2,2.96,0.77,20.34,35.43,9.82,120.81,0.54,2.96,13.34,-0.19,10.66,213.42,-1.82,1.03,2.92,31.54,234.85,-39.6,0.02,63.68,16.5,53.03,0.83,1.29,31.54,243.96,7.29,6.44,50.14,160.1,7.33,4.15,40.06,122.18,7.23,0.0,113.58,119.1,3.08,353.83,281.53,0.0,194.3,87.23,10.92,2.87,212.99,176.84,0.0,0.0,1.32,353.83,115.27,0.42,87.3,113.76,10.0,2.48,0.23,78.57,0.71,137.31,121.71,85.69,261.7,5.01,98.81,96.28,71.22,-1.86,114.52,132.76,83.78,141.35,92.35,125.41,141.11,566.75,8.35,15.42,13.18,15.84,0.0,566.75,47.31,-1.83,50.9,19.02,31.88,10.78,15.68,4.22,15.42,-5.42,11.46,3.62,38.22,139.12,8.35,2.72,47.31,10.78,19.02,15.84,31.88,11.46,3.66,4.22,-1.83,202403.0,497.57,34.6,-4.61,36.61,19.28,17.33,10.55,0.16,0.22,-7.09,-6.62,-0.06,0.0,6.95,-1.42,-0.08,552.64,11.58
Bafna Pharma.,532989.0,BAFNAPH,Pharmaceuticals - Indian - Formulations,77.78,-10.42,-22.67,13985,0,0,119.0,73.25,233.55,3.55,4.99,0.0,-16.1,89.2,92.22,89.76,92.39,33.58,-1.46,-0.35,1.19,1.86,-29.3,-18.63,73.5,11554,15.19,7.88,184.0,532989.0_BAFNAPH,1.21,-104.15,14.15,1.75,4.21,1.33,35.44,149.66,45.57,80.84,1.21,4.21,21.49,-0.2,3.32,106.51,-1.76,0.44,1.71,0.0,75.21,-18.43,0.03,9.9,34.64,6.18,0.65,-3.1,0.0,48.88,19.45,12.23,56.82,22.8,19.41,4.45,126.03,24.39,23.66,0.0,57.18,21.42,1.51,147.68,94.66,0.0,54.43,41.98,10.5,0.0,94.47,54.08,0.0,0.0,10.93,147.68,54.03,0.0,29.64,45.39,10.0,1.4,0.0,35.42,2.37,22.93,55.32,40.23,94.66,1.5,35.36,0.83,39.58,101.42,15.29,46.23,82.38,99.34,35.97,37.02,43.32,152.47,7.29,7.35,9.55,3.11,-0.13,152.47,11.11,3.52,14.63,5.0,9.63,2.29,7.34,0.0,7.35,0.0,7.35,0.0,56.88,19.03,7.29,4.82,11.11,2.29,5.0,3.11,9.63,7.35,0.0,0.0,3.52,202403.0,115.35,15.72,3.27,18.79,5.33,13.46,2.04,11.62,0.28,11.14,0.2,11.34,0.0,13.63,9.66,4.79,153.31,11.26
CHL,532992.0,__NA__,Hotels,34.02,-1.83,-20.31,5138,9704,1655,47.75,17.01,49.59,4.75,0.47,-3.81,-2.25,35.94,33.71,36.02,33.7,44.16,-0.33,-0.24,-0.36,-0.37,88.11,45.87,33.45,6291,6.18,3.9,186.49,532992.0___NA__,1.48,6.89,6.82,0.35,1.65,0.98,-73.44,5650.0,-8.27,-70.62,1.48,1.65,9.6,-0.81,26.13,181.39,14.6,-3.67,-4.76,0.0,,-126.74,0.15,55.34,28.75,100.0,0.71,0.62,0.0,,11.75,10.47,,-16.86,11.75,1.05,11.58,248.74,55.19,0.0,-125.81,270.0,0.0,339.91,444.42,0.0,166.02,272.64,1.17,0.0,49.94,142.36,0.0,0.0,10.65,339.91,-92.42,0.0,9.87,5.68,2.0,23.03,0.0,6.47,5.48,270.0,-64.58,278.4,444.42,0.0,-66.09,-30.5,0.11,27.09,225.49,237.14,242.64,207.49,286.37,319.18,329.72,125.84,25.61,9.52,23.15,1.74,0.0,125.84,32.23,28.17,60.4,17.48,42.92,26.07,16.85,7.33,9.52,0.0,9.52,0.0,9.92,31.33,25.61,7.57,32.23,26.07,17.48,1.74,42.92,9.52,7.1,7.33,28.17,202403.0,121.62,34.57,0.65,35.23,16.9,18.33,20.67,-2.35,4.79,-7.14,-0.01,-7.13,0.0,28.42,-5.87,0.55,123.09,-12.0
Sejal Glass,532993.0,SEJALLTD,Glass & Glass Products,360.0,-10.07,36.24,20472,76568,14980,414.0,210.1,517.45,1.5,0.74,13.53,13.81,328.02,299.89,326.82,299.31,69.89,5.4,3.39,0.3,-0.98,49.52,351.99,188.11,14360,87.42,50.76,363.6,532993.0_SEJALLTD,2.22,-38.75,24.36,1.56,1.27,6.07,34.79,-68.63,5.78,29.12,2.22,1.27,32.94,-0.44,48.51,176.93,-7.93,5.75,4.83,0.0,103.9,-45.33,0.01,73.52,13.04,71.35,0.87,-18.23,0.0,46.11,-39.56,9.14,1375.05,56.43,-39.56,3.94,1136.25,162.02,10.1,0.0,19.02,56.31,105.71,230.4,160.47,14.44,45.56,114.91,5.03,5.54,95.01,60.77,0.0,0.0,5.36,230.4,56.99,21.61,16.7,68.27,10.0,2.57,1.22,28.97,1.01,31.28,12.8,20.35,59.38,0.4,-163.89,-129.61,,10.31,22.15,22.19,,55.51,29.61,34.56,,163.8,12.45,3.3,13.41,3.28,-1.51,163.8,20.39,1.09,21.47,5.59,15.88,12.55,3.34,0.0,3.3,0.01,3.34,0.0,64.13,19.05,12.45,2.03,20.39,12.55,5.59,3.28,15.88,3.34,0.0,0.0,1.09,202403.0,46.43,2.77,-0.75,2.95,0.89,2.06,2.31,-1.18,-9.03,8.78,-0.93,7.85,0.0,5.97,18.91,7.77,126.24,10.16
Archidply Inds.,532994.0,ARCHIDPLY,Miscellaneous,100.0,13.61,5.2,23453,14377,18213,148.4,64.0,148.4,3.15,-1.38,-4.16,-1.91,107.23,95.89,107.52,95.84,38.28,-2.05,-1.77,-1.63,-1.52,21.1,40.84,33.03,92597,5.06,24.14,198.65,532994.0_ARCHIDPLY,0.46,77.33,14.26,1.21,2.65,,23.89,-70.55,15.92,111.53,0.46,2.65,17.48,,20.88,254.32,1.15,2.38,2.58,0.0,47.3,-133.08,0.01,42.65,32.61,56.25,0.67,,0.0,67.19,17.36,11.15,49.8,52.31,17.33,3.37,461.98,148.26,19.87,0.0,91.66,82.55,0.0,326.71,117.24,0.0,53.2,148.38,1.85,0.0,164.75,135.66,0.0,0.0,117.53,326.71,104.09,1.95,54.57,97.89,10.0,1.42,0.78,48.43,1.99,82.55,99.63,64.04,117.24,11.67,,,,,,,,,,,,435.67,4.95,7.1,8.86,3.57,0.0,435.67,21.58,2.65,24.23,4.47,19.76,7.45,12.31,5.22,7.1,0.0,7.1,0.0,69.42,30.71,4.95,1.63,21.58,7.45,4.47,3.57,19.76,7.1,4.46,5.22,2.65,202403.0,417.37,24.02,2.3,26.35,4.01,22.34,5.76,16.55,4.3,12.27,-0.03,12.25,0.0,5.76,2.94,6.17,428.37,9.22
Lotus Eye Hospit,532998.0,LOTUSEYE,Healthcare,57.81,-7.35,-37.8,68947,130072,109097,111.0,44.1,111.0,4.43,2.54,-8.55,-1.17,60.51,69.44,60.68,69.58,40.11,-0.24,0.05,0.11,0.19,-30.01,3.6,23.66,126950,7.72,19.24,120.25,532998.0_LOTUSEYE,2.51,316.02,14.57,2.25,41.0,1.28,16.16,-96.97,-9.56,59.41,2.51,41.0,27.83,0.17,0.0,56.52,0.65,0.01,1.09,0.0,18.19,5.09,0.06,21.14,47.53,32.06,0.52,2.18,0.0,29.99,21.33,8.38,84.93,3.75,21.33,5.22,4038.0,0.0,20.8,0.0,38.61,0.0,0.67,66.63,90.18,0.0,46.0,48.65,0.08,0.0,14.02,6.23,0.0,0.0,0.88,66.63,7.79,0.0,3.21,1.26,10.0,7.04,0.33,3.46,2.08,0.67,10.0,44.18,90.18,0.0,8.05,1.06,2.57,-0.11,0.4,0.22,0.48,0.18,40.54,44.14,41.32,48.21,13.54,2.91,6.97,1.4,-15.18,48.21,6.53,1.31,7.83,3.73,4.1,0.1,4.01,1.1,2.91,0.01,2.91,0.0,31.78,9.81,13.54,6.04,6.53,0.1,3.73,1.4,4.1,2.91,1.0,1.1,1.31,202403.0,47.03,7.68,1.15,8.83,2.98,5.85,0.2,5.65,1.57,4.08,0.0,4.08,1.04,16.33,8.68,1.96,48.5,3.54
Somi Conv.Belt.,533001.0,SOMICONVEY,Miscellaneous,192.0,45.47,100.41,86577,205680,17853,236.2,50.42,236.2,7.4,-4.67,23.11,47.99,148.25,113.21,146.08,112.32,64.74,18.77,18.07,11.27,9.4,264.21,50.23,61.91,43504,22.81,23.99,226.17,533001.0_SOMICONVEY,2.28,46.02,26.49,2.12,4.41,2.13,55.41,147.37,104.9,71.05,2.28,4.41,30.42,0.05,3.35,84.17,5.96,0.23,1.5,0.0,55.89,-3.4,0.03,79.44,16.17,292.7,0.84,3.35,0.0,72.4,41.5,7.88,168.13,47.95,41.43,6.05,124.06,15.22,11.78,0.0,59.27,16.33,1.28,110.45,75.34,0.0,49.36,25.76,1.83,0.0,80.35,37.93,0.0,0.0,1.16,110.45,56.58,0.0,26.15,40.89,10.0,8.45,0.57,16.13,1.18,17.61,53.16,25.99,75.34,1.89,56.11,51.47,44.23,26.9,22.21,24.99,26.52,17.11,26.52,26.52,33.95,102.11,8.57,4.55,9.26,3.86,0.0,102.11,8.75,0.31,9.06,1.17,7.89,1.79,6.1,1.55,4.55,0.0,4.55,0.0,76.01,3.9,8.57,4.46,8.75,1.79,1.17,3.86,7.89,4.55,1.51,1.55,0.31,202403.0,93.73,7.81,0.2,8.01,1.01,7.0,2.72,4.28,0.81,3.47,0.0,3.47,0.0,8.33,3.7,2.95,102.46,4.64
LGB Forge,533007.0,LGBFORGE,Castings & Forgings,12.7,29.54,-5.39,1551574,701939,401247,14.83,8.37,23.9,0.84,0.55,-10.23,30.88,10.75,10.64,10.68,10.62,62.06,0.8,0.79,0.57,0.51,32.95,17.18,28.18,506660,20.22,12.82,302.53,533007.0_LGBFORGE,3.38,-110.68,1070.29,1.39,-0.78,,37.69,-44.39,-13.83,20.17,3.38,-0.78,-134.87,-0.09,-3.01,45.77,-5.1,1.61,4.07,0.0,,-10.64,0.0,67.03,14.36,51.73,0.86,24.55,0.0,,122.97,-1.67,,1.41,122.98,8.03,-122.98,29.74,23.82,0.0,-3.65,23.45,3.59,78.97,40.0,0.0,22.39,12.08,0.0,0.0,62.29,44.73,0.0,0.0,2.94,78.97,33.69,0.68,28.13,31.24,1.0,0.48,0.0,21.73,23.82,27.04,38.48,17.61,40.0,0.0,22.98,14.65,13.28,17.6,13.1,10.94,17.9,35.75,24.18,24.95,8.76,89.38,-0.34,-5.63,-4.59,-0.41,0.0,89.38,-0.3,-3.63,0.31,2.77,-2.46,3.17,-9.87,0.0,-5.63,-4.24,-9.87,0.0,46.08,20.12,-0.34,-6.3,-0.3,3.17,2.77,-0.41,-2.46,-9.87,0.0,0.0,-3.63,202403.0,116.22,-3.18,1.37,-1.8,4.79,-6.59,2.7,-9.3,0.0,-9.29,-0.01,-9.3,0.0,-2.74,-7.99,-0.39,106.96,-8.31
Landmark Prop.,533012.0,LPDC,Construction,10.03,9.42,22.21,201350,82175,76983,11.75,5.1,200.0,0.75,6.59,-2.59,11.36,9.28,8.58,9.28,8.57,50.33,0.14,0.16,0.15,0.16,50.56,10.63,31.98,223409,16.4,10.72,134.56,533012.0_LPDC,101.17,301.12,-11.3,13.46,,,1048.87,-40133.33,63.64,43.68,101.17,,-11.3,0.03,0.0,13.95,0.9,0.02,1.16,0.0,,1.96,0.03,74.14,14.64,96.67,0.85,41.09,0.0,,135.86,-12.06,,1.04,135.92,5.71,-11.2,0.0,13.41,0.0,30.27,0.0,0.0,44.84,0.03,0.0,0.02,0.0,0.0,0.0,15.07,1.12,0.0,0.0,0.82,44.84,13.95,0.0,11.43,0.0,1.0,3.46,0.74,0.04,13.41,0.0,14.92,0.01,0.03,0.0,18.85,18.26,13.66,11.95,0.0,0.0,0.0,0.0,0.01,0.02,0.01,1.33,-902.26,-11.72,-23.41,-0.87,0.0,1.33,-12.0,0.4,-11.6,0.0,-11.6,0.0,-11.6,0.13,-11.72,0.0,-11.72,0.0,49.62,0.21,-902.26,-881.2,-12.0,0.0,0.0,-0.87,-11.6,-11.72,0.13,0.13,0.4,202403.0,0.39,-7.65,0.26,-7.39,0.0,-7.39,0.0,-7.39,-0.85,-6.54,0.0,-6.54,0.0,-1961.54,-1676.92,-0.49,1.38,-5.97
